,0,ACA__Anterior_Cingulate_Area_left,AI__Agranular_Insular_Area_left,AUD__Auditory_Areas_left,ECT__Ectorhinal_Area_left,GU__Gustatory_Areas_left,ILA__Infralimbic_Area_left,MO__Somatomotor_Areas_left,ORB__Orbital_Area_left,PERI__Perirhinal_Area_left,PL__Prelimbic_Area_left,PTLp__Posterior_Parietal_Association_Areas_left,RSP__Retrosplenial_Area_left,SS__Somatosensory_Areas_left,TEa__Temporal_Association_Areas_left,VIS__Visual_Areas_left,VISC__Visceral_Area_left,Isocortex__Isocortex_Uncharted_left,AA__Amygdalar_Area_left,COA__Cortical_Amygdalar_Area_left,PIR__Piriform_Area_left,TT__Tenia_Tecta_left,OLF__Olfactory_Areas_Uncharted_left,BLA__Basolateral_Amygdala_left,CLA__Claustrum_left,ENT__Entorhinal_Area_left,PAR__Parasubiculum_left,POST__Postsubiculum_left,PRE__Presubiculum_left,HPF__Hippocampal_Formation_Uncharted_left,ZI__Zona_Incerta_Uncharted_left,FF__Fields_of_Forel_left,PH__Posterior_Hypothalamic_Nucleus_left,POA__Preoptic_Areas_Uncharted_left,STN__Subthalamic_Nucleus_left,HY__Hypothalamus_Uncharted_left,LSX__Lateral_Septal_Complex_left,PALd__Pallidum_Dorsal_Region_left,STR__Striatum_left,ACB__Nucleus_Accumbens_left,BST__Bed_Nuclei_of_Stria_Terminalis_left,PALv__Pallidum_Ventral_Region_left,VPM__Ventral_Posteromedial_Nucleus_of_the_Thalamus_left,VPL__Ventral_Posterolateral_Nucleus_of_the_Thalamus_left,LD__Lateral_Dorsal_Nucleus_of_the_Thalamus_Uncharted_left,LDVL__Lateral_Dorsal_Nucleus_of_the_Thalamus_Ventrolateral_Part_left,LP__Lateral_Posterior_Nucleus_of_the_Thalamus_left,ATN__Anterior_Group_of_the_Dorsal_Thalamus_left,MG__Medial_Geniculate_Complex_left,LGd__Dorsal_Part_of_the_Lateral_Geniculate_Complex_left,RT__Reticular_Nucleus_of_the_Thalamus_left,PrG__Pregeniculate_Nucleus_left,MD__Mediodorsal_Thalamic_Nucleus_left,TH__Thalamus_Uncharted_left,FRP__Frontal_Pole_Cerebral_Cortex_left,SUM
VLO,0.06142891624426744,0.0008447984552256819,0.0,0.0,0.0,0.0,0.07868694182959209,0.019309678976587013,0.6874245715664977,0.0,0.0002413709872073377,0.0,0.0,0.0,0.0,0.0,0.0,0.03186097031136857,0.0,0.0,0.0025343953656770456,0.0,0.023292300265508086,0.0,0.09304851556842868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013275404296403572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
LO,0.024575116953869842,0.0,0.1692426126606265,0.0,0.0,0.0,0.0,0.006277017824361935,0.6351039260969977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08521347782317759,0.0,0.0,0.04411677621839285,0.0,0.012139515603718837,0.0,0.014034464380884704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00917865813939717,0.0001184342985728667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
VO,0.04578688721083543,0.0,0.0,0.0,0.0,0.0,0.1663670142634544,0.0,0.4094450437492509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22533860721562987,0.0,0.0,0.0,0.009349154980222941,0.07287546446122498,0.0,0.02229413879899317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007551240560949299,0.040992448759439054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MO,0.02882527147087858,0.0,0.0,0.0,0.0,0.0,0.13445212240868706,0.0,0.6675222112537019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16386969397828233,0.0,0.0,0.0,0.004540967423494571,0.0007897334649555774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DLO,0.023027349889971706,0.0,0.7142408047783716,0.0,0.0,0.09823954731216598,0.0,0.09871109713926438,0.05745048726815467,0.0,0.0,0.0,0.0,0.006994655768626218,0.0,0.0,0.0,0.0013360578434454574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PrL,0.20187410877979223,0.014422489305357507,0.0,0.0,0.0,0.0,0.34740272968017927,0.0008148299042574863,0.12825422693012833,0.0,0.21800774088409045,0.0,0.0,0.0,0.0,0.0,0.0,0.08885720105927887,0.0,0.0,0.0,0.0,0.0,0.0,0.0002851904664901202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.148299042574862e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M2,0.014237192187942258,0.058491367110104726,0.0011746391168978205,0.0,0.0,0.015242003962637985,7.076139258420605e-05,0.8367110104726861,0.018765921313331446,0.0,0.04753750353806963,0.0,0.0023351259552788,0.005434474950467025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Ma,0.13565014236694167,0.0,0.009053077316200628,0.0,0.0,0.22070526392640724,0.0,0.0005840695042710083,0.0,0.0,0.0,0.0,0.0,0.6326932905015696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013141563846097686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
M1,0.13854502890788495,0.0,0.0,0.0,0.0,0.042510552264746565,0.0,0.4199624020146845,0.00015961408860355408,0.0,0.0,0.0,0.0,0.3988224027240804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AI-v,0.04299955363785151,0.0,0.1595000743936914,0.0,0.0,0.00014878738282993602,0.0,0.0,0.12022020532658831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11397113524773099,0.0,0.0,0.5320636809998512,0.0,0.02544264246391906,0.0,0.005653920547537569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AI-d,0.05674740484429066,0.0,0.4465974625144175,0.0,0.0,0.06320645905420992,0.0,0.0,0.004382929642445213,0.0,0.0,0.0,0.0,0.00657439446366782,0.0,0.0,0.0,0.18408304498269895,0.0,0.0,0.2005767012687428,0.0,0.02964244521337947,0.0,0.008189158016147636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Cg1,0.059897097369187455,0.5621298903019124,0.0,0.0,0.0,0.0,0.010532957965246092,0.3386079021454228,0.0,0.0,0.02883215221823124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
CLA,0.30484892534523933,0.0,0.00010383137784238397,0.0,0.0,0.0,0.0,0.0,0.003737929602325823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10414287197591111,0.0,0.0,0.2713113903021493,0.0,0.0,0.0,0.19198421763056797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12096355518637732,0.002907278579586751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
IL,0.17860269655051655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44370513045000876,0.0,0.0,0.0,0.2654526352652775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07739450183855717,0.0,0.031343022237786726,0.003502013657853266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
DI,0.08651474215905086,0.0,0.1577587219546576,0.0,0.03247973687301774,0.005168565723011864,0.0,0.0,0.0,0.002408081757312346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6414307529660519,0.0,0.0,0.031187595442264772,0.0,0.0035240220838717255,0.0,0.03946904733936333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8733701397862095e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
GI,0.0726109857035365,0.0,0.45629546024579887,0.008339603712064209,0.023890142964635062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081891146225232,0.0,0.0,0.28210433910208177,0.0,0.0,0.0,0.0,0.0,0.0,0.07424128417356408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006270378730875344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1-fl,0.12887686223200215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8710636652888876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.947247911029171e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1-dz,0.1455725544738062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8544274455261938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1-f,0.05916929352864825,0.0,0.08574077507880586,0.0,0.0,0.14047839792323383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7096977563508251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004542926015204896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003708511032820323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S2,0.057043429189494226,0.0,0.16757976909873262,0.25342707329116604,0.0,0.15899739001622423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18627289614145642,0.01483693479743234,0.0,0.15615227256695433,0.0009170213266241859,0.0,0.0,0.0,0.0,0.0,0.0,0.004773213571915634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1-hl,0.16923630691703162,0.0,0.0,0.0,0.0,0.0,0.0,0.06743055972163897,0.0,0.0,0.0,0.0,0.0,0.7633331333613295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AI-p,0.10740103270223753,0.0,0.0,0.0,0.009523809523809525,0.0,0.0,0.0,0.0,0.07389558232931727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3987378083763626,0.0,0.0,0.30625358577165807,0.0,0.07389558232931727,0.0,0.029948364888123923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034423407917383823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1-bf,0.08110699220247987,0.0,0.0,0.11662192679705143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8022710810004687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RSD,0.45133221486052266,0.02542155998521341,0.0,0.0,5.687149884835215e-05,0.0,0.0,0.04268205988568829,0.0,0.0,0.0,0.003867261921687946,0.3381294964028777,0.0,0.0,0.13032103961099895,0.0,0.0030426251883868397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024454744504791423,0.002701396195296727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
