,0,ACA__Anterior_Cingulate_Area_left,AI__Agranular_Insular_Area_left,AUD__Auditory_Areas_left,ECT__Ectorhinal_Area_left,GU__Gustatory_Areas_left,ILA__Infralimbic_Area_left,MO__Somatomotor_Areas_left,ORB__Orbital_Area_left,PERI__Perirhinal_Area_left,PL__Prelimbic_Area_left,PTLp__Posterior_Parietal_Association_Areas_left,RSP__Retrosplenial_Area_left,SS__Somatosensory_Areas_left,TEa__Temporal_Association_Areas_left,VIS__Visual_Areas_left,VISC__Visceral_Area_left,Isocortex__Isocortex_Uncharted_left,AA__Amygdalar_Area_left,COA__Cortical_Amygdalar_Area_left,PIR__Piriform_Area_left,TT__Tenia_Tecta_left,OLF__Olfactory_Areas_Uncharted_left,BLA__Basolateral_Amygdala_left,CLA__Claustrum_left,ENT__Entorhinal_Area_left,PAR__Parasubiculum_left,POST__Postsubiculum_left,PRE__Presubiculum_left,HPF__Hippocampal_Formation_Uncharted_left,ZI__Zona_Incerta_Uncharted_left,FF__Fields_of_Forel_left,PH__Posterior_Hypothalamic_Nucleus_left,POA__Preoptic_Areas_Uncharted_left,STN__Subthalamic_Nucleus_left,HY__Hypothalamus_Uncharted_left,LSX__Lateral_Septal_Complex_left,PALd__Pallidum_Dorsal_Region_left,STR__Striatum_left,ACB__Nucleus_Accumbens_left,BST__Bed_Nuclei_of_Stria_Terminalis_left,PALv__Pallidum_Ventral_Region_left,VPM__Ventral_Posteromedial_Nucleus_of_the_Thalamus_left,VPL__Ventral_Posterolateral_Nucleus_of_the_Thalamus_left,LD__Lateral_Dorsal_Nucleus_of_the_Thalamus_Uncharted_left,LDVL__Lateral_Dorsal_Nucleus_of_the_Thalamus_Ventrolateral_Part_left,LP__Lateral_Posterior_Nucleus_of_the_Thalamus_left,ATN__Anterior_Group_of_the_Dorsal_Thalamus_left,MG__Medial_Geniculate_Complex_left,LGd__Dorsal_Part_of_the_Lateral_Geniculate_Complex_left,RT__Reticular_Nucleus_of_the_Thalamus_left,PrG__Pregeniculate_Nucleus_left,MD__Mediodorsal_Thalamic_Nucleus_left,TH__Thalamus_Uncharted_left,FRP__Frontal_Pole_Cerebral_Cortex_left,SUM
S1-tr,0.08853277288848023,0.0,0.0,0.2521345067647445,0.0,0.0,0.0,0.014711677393931434,0.0,0.0,0.0,0.011624852226454749,0.0,0.632996190726389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
RSG,0.3754576330995545,0.039036654757178775,0.0,0.0,0.0,0.0,0.0,0.0007057474306382604,0.0,0.0,0.0,0.0,0.5579374531339597,0.0,0.0,0.017048211371355475,0.0,0.0008601296810903798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008314586917207005,0.0,0.0006395836090159234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
lPPC,0.06490675708403972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22838459675466213,0.0,0.7067086461612981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
mPPC,0.10336787564766839,0.0,0.0,0.0,0.0,0.0,0.0,0.07538860103626943,0.0,0.0,0.0,0.35414507772020726,0.0,0.46709844559585495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PtP,0.019550909794812235,0.0,0.0,0.2965543941153697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3975996902826171,0.0,0.24661246612466126,0.0,0.03968253968253968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
V1,0.1505399923249822,0.0,0.0,0.0,0.0022842314931564426,0.0,0.0,0.0,0.0,0.0,0.0,0.02801381503207061,0.003837508908502823,0.0028507209034592403,5.4821555835754616e-05,0.8124189097819929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
V2L,0.053186764379302684,0.0,0.0,0.03580946035976016,0.039029535864978905,0.0,0.0,0.0,0.0,0.0,0.0,0.22262935820564067,0.0,0.0007217410615145459,0.2842549411503442,0.3643681989784588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
TeA,0.15251671502459946,0.0,0.0,0.0,0.41295572095370253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43446448845717167,6.307556452630251e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
V2M,0.13139418254764293,0.0,0.0,0.0,0.0,0.0,0.0,0.04123910192114806,0.0,0.0,0.0,0.13675642311550035,0.24639302522953477,0.0027389861893372426,0.0,0.44147828099683667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Endo,0.021973694573521305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025990391431046705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018902102858943056,0.0,0.0,0.8900527683704812,0.0,0.03827675828935969,0.0,0.0025202803811924077,0.015279199810978972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013388989525084665,0.014019059620382768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Am-u,0.08114647774895231,0.0,0.0,0.0,0.0005363200957892636,0.0,0.0,0.0,0.0,0.007695569746557574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005325783276791059,0.5374800439034125,0.09834613849531032,0.1492466573538216,0.0,0.03494811414887248,0.026042706046697266,0.0007358810616643384,0.009204749550987826,0.0,0.0,0.0,0.016763121133506285,0.0,0.0,0.0,0.0,0.0,0.0003118140091798044,0.0,0.00019956096587507485,0.03042057473558172,0.0,0.0,0.0015964877270005988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NLOT,0.17698343504795117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7041557686718977,0.0,0.0,0.0,0.11886079628015112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AOA-u,0.08771136119436747,0.0,0.0013572357631623593,0.0,0.0,0.0,0.0,0.0,0.02284680201323305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004354464740145903,0.0,0.0,0.005202737092122377,0.0,0.878470847706837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6551490131764975e-05,0.9999999999999999
