,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,CIN_Anterior,CIN_Posterior,BG_CaudoPutamen,BG_Accumbens,BG_Pallidum,THL_Thalamus,THL_Hypothalamus,SUM
PIR2,0.07612805646584321,0.0,0.0,0.00016805310478111083,0.0,0.0,0.0,0.0,0.0,0.09091672968658096,0.0,0.0,0.0,0.0,0.01571296529703386,0.8170741954457609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PIR3,0.29508935759137017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08919658670101432,0.0,0.0,0.0,0.0,0.014168410883915633,0.5709225567541458,0.0,0.0,0.011334728707132508,0.01928835936242151,0.0,0.0,0.0,0.9999999999999999
NAc-c,0.07575017104877334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002932264685758968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26918189815267324,0.6547747043299775,0.0,0.0,0.0,1.0
NAc-sh,0.0053621584815729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024597838113882033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0329389735296621,0.937101029874883,0.0,0.0,0.0,1.0
VP,0.00544188071397475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8408794079233783,0.0,0.0,0.0,0.0,0.002067914671310405,0.0,0.0,0.0,0.01001306051371354,0.14072703526338703,0.0,0.0,0.0008707009142359599,1.0
GPe-m,0.1659919028340081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06072874493927125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7732793522267206,0.0,0.0,1.0
CPu,0.10817241188513252,0.00036360474583237824,0.0,0.0,0.004157741224083281,7.904450996356049e-06,0.0,0.0,0.0,0.005367122226525757,0.0,0.0,0.0016836480622238383,0.0009643430215554379,0.00023713352989068143,0.0,0.0,0.0,0.8778762321062991,0.0007351139426611125,0.00043474480479958265,0.0,0.0,1.0
GPe-l,0.028420275590551183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023622047244094488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6828248031496063,0.0,0.26513287401574803,0.0,0.0,1.0
VSR-u,0.03295479848586061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09819639278557114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4419951013137386,0.42685370741482964,0.0,0.0,0.0,1.0
RT-u,0.26914938637325436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10537452391028354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005924672027084215,0.0,0.0,0.6195514176893779,0.0,1.0
PrG,0.1299513551077137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03822098679638638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8318276580959,0.0,1.0
DLG,0.07446808510638298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22989102231447847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6956408925791385,0.0,1.0
LHb,0.3934169278996865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18432601880877744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42225705329153607,0.0,1.0
MHb,0.6014828544949027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25023169601482853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14828544949026876,0.0,1.0
PIL,0.4642193308550186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039962825278810406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495817843866171,0.0,1.0
Po-t,0.38300611522368844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6169938847763116,0.0,1.0
PT,0.11556240369799692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8721109399075501,0.012326656394453005,0.9999999999999999
AD,0.12680577849117175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8731942215088283,0.0,1.0
AV-dm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
AV-vl,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01603053435114504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007633587786259542,0.0,0.0,0.8763358778625954,0.0,1.0
Rh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Xi,0.1669902912621359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001941747572815534,0.8310679611650486,1.0
Re,0.14505978602894903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006293266205160479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42825676526117057,0.4260541220893644,1.0
VM,0.30647511971684366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6870705808869456,0.0064542993962107015,1.0
SMT,0.03483606557377049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9477459016393442,0.017418032786885244,1.0
Ang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
VPM,0.01228859958632437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9877114004136757,0.0,1.0
LD-dm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021910604732690624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9780893952673094,0.0,1.0
LD-vl,0.03358644859813084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04380841121495327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9226051401869159,0.0,1.0
Po,0.0629329111418959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9370670888581041,0.0,1.0
