,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,SUM
A10,0.46059812268063743,0.0,0.0,0.2082514734774067,0.0004365858982754857,0.0,0.0,0.0,0.0004365858982754857,0.0004365858982754857,0.0032743942370661427,0.008513425016371971,0.043222003929273084,0.01309757694826457,0.00021829294913774285,0.0004365858982754857,0.00021829294913774285,0.0,0.0,0.0034926871862038856,0.0091683038637852,0.0056756166775813145,0.0010914647456887142,0.026413446845666884,0.08491595721458196,0.008513425016371971,0.00021829294913774285,0.0290329622353198,0.048897620606854396,0.0,0.043440296878410826,1.0000000000000002
A9,0.08740204942736589,0.0,0.0,0.7799879445449066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13261000602772754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A46,0.19806451612903225,0.0,0.0,0.7987096774193548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032258064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8a,0.22490958408679929,0.04837251356238698,0.36053345388788427,0.36618444846292947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A8b,0.14423349390762255,0.011618022102578634,0.08515160102011901,0.6899971663360726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06899971663360725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A47L,0.12824907169380176,0.0,0.0,0.8717509283061983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A47M,0.24520255863539445,0.0,0.0,0.7547974413646056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A45,0.3522727272727273,0.0,0.0,0.6477272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ProM,0.22828282828282828,0.3881032547699214,0.0,0.07542087542087542,0.24062850729517396,0.0,0.001122334455667789,0.0,0.021773288439955105,0.0,0.0,0.0,0.0,0.0,0.0,0.0017957351290684624,0.04287317620650954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
A32V,0.13413547237076648,0.0,0.0,0.13992869875222816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7259358288770054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A32D,0.15880066629650194,0.0,0.0,0.09550249861188229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7456968350916158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A14,0.07929334428923583,0.0,0.0,0.5509449465899754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3697617091207888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24a,0.4564814814814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430555555555555,0.000462962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24b,0.2008046817849305,0.0,0.008778346744696415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6580102414045355,0.1324067300658376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24cd,0.1866489538359349,0.03254732646961143,0.009963467286615742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30023248090335436,0.4706077715044836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A25,0.3745435576421492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5174752217005738,0.0,0.06677099634846113,0.0,0.04121022430881586,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A11L,0.18645357686453576,0.0,0.0,0.8006088280060882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01293759512937595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A11M,0.12046332046332046,0.0,0.0,0.7822393822393823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0972972972972973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13L,0.4345969033635878,0.0,0.0,0.5488521089161773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037373198077949813,0.0,0.009076348104644954,0.0037373198077949813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13M,0.2638743455497382,0.0,0.0,0.3717277486910995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3162303664921466,0.0,0.048167539267015703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gu,0.17103235747303544,0.26861838726245507,0.0,0.019517205957883924,0.11710323574730354,0.0,0.0005136106831022085,0.0,0.0780688238315357,0.0,0.0,0.0,0.0,0.0,0.0,0.1314843348741654,0.1689779147406266,0.0,0.0,0.0,0.0,0.0,0.0,0.04468412942989214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
Opro,0.37740384615384615,0.07692307692307693,0.0,0.2590144230769231,0.0,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.0,0.0,0.0,0.0,0.15084134615384615,0.002403846153846154,0.0006009615384615385,0.01201923076923077,0.018629807692307692,0.0,0.0,0.0,0.051682692307692304,0.04567307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
OPAl,0.315450643776824,0.0,0.0,0.06437768240343347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027896995708154508,0.027896995708154508,0.0,0.0,0.0,0.07725321888412018,0.3133047210300429,0.17381974248927037,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6D,0.2645631067961165,0.1299477221807319,0.5492905153099328,0.0,0.05619865571321882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6M,0.1111111111111111,0.16980435585086748,0.5669988925802879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15208564045773348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6V,0.3305823016964695,0.4351215038972948,0.0009170105456212746,0.039889958734525444,0.19303071985327833,0.0,0.0004585052728106373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A4M,0.2728993186979561,0.6090083270249811,0.007191521574564724,0.0,0.1109008327024981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
A4L,0.11446153846153846,0.46615384615384614,0.0,0.0,0.2756923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03876923076923077,0.10492307692307692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
