,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,SUM
A10,0.4998908535254311,0.0,0.0,0.0947391399257804,0.0006548788474132286,0.0,0.0,0.0,0.0013097576948264572,0.0,0.0008731717965509714,0.022484173761187512,0.037764680200829515,0.018118314778432655,0.0017463435931019428,0.0017463435931019428,0.0,0.0,0.0,0.006330495524994543,0.0794586334861384,0.0008731717965509714,0.0030561012879283997,0.018554900676708144,0.025540275049115914,0.023139052608600743,0.0,0.0412573673870334,0.091683038637852,0.0,0.03077930582842174,1.0
A9,0.26220614828209765,0.0,0.0,0.4816154309825196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2561784207353828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A46,0.3864516129032258,0.0,0.0,0.4935483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8a,0.49276672694394213,0.10103978300180831,0.2710216998191682,0.07662748643761302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058544303797468354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A8b,0.34159818645508644,0.01686030036837631,0.1086710116180221,0.3288466987815245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20402380277699064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A47L,0.4270208511853756,0.04398743216223936,0.0,0.5215652670665524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003141959440159954,0.004284490145672665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
A47M,0.43425728500355365,0.13219616204690832,0.0,0.27221037668798864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08386638237384506,0.07746979388770434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A45,0.7840909090909091,0.04383116883116883,0.0,0.17207792207792208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ProM,0.47182940516273847,0.1420875420875421,0.0,0.0,0.0734006734006734,0.0,0.0017957351290684624,0.0,0.006509539842873177,0.0,0.0,0.0,0.0,0.0,0.0,0.025813692480359147,0.12098765432098765,0.0,0.0,0.0,0.0,0.0,0.0,0.15757575757575756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
A32V,0.3591800356506239,0.0,0.0,0.08689839572192513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.553921568627451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A32D,0.5446973903387007,0.0,0.0,0.01665741254858412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43864519711271516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A14,0.2362366474938373,0.0,0.0,0.36031224322103533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31306491372226786,0.0,0.04724732949876746,0.002054231717337716,0.041084634346754315,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24a,0.8296296296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1375,0.01574074074074074,0.01712962962962963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24b,0.53474762253109,0.0,0.002560351133869788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3024871982443306,0.16020482809070957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24cd,0.5752241780139489,0.021919628030554632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08468947193623381,0.3181667220192627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A25,0.30359937402190923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08242044861763172,0.0,0.45957224830464266,0.006259780907668232,0.14710485133020346,0.0,0.0,0.0,0.0010432968179447052,0.0,0.0,1.0
A11L,0.3668188736681887,0.0,0.0,0.4863013698630137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14687975646879756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A11M,0.1613899613899614,0.0,0.0,0.5528957528957529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13L,0.396155899626268,0.008542445274959957,0.0,0.2397223705285638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057127602776294716,0.0,0.2872397223705286,0.011211959423384944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A13M,0.3162303664921466,0.0,0.0,0.20209424083769634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35287958115183243,0.0,0.08795811518324607,0.016753926701570682,0.024083769633507852,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gu,0.20955315870570107,0.0662557781201849,0.0,0.0,0.09347714432460195,0.0,0.0,0.0,0.2526964560862866,0.0,0.0,0.0,0.0,0.0,0.0,0.011813045711350795,0.030816640986132512,0.0,0.0,0.0,0.0,0.0,0.0,0.33538777606574216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Opro,0.32872596153846156,0.08233173076923077,0.0,0.006610576923076923,0.0,0.0,0.0,0.0,0.037259615384615384,0.0,0.0,0.0,0.0078125,0.0,0.0,0.31850961538461536,0.0234375,0.0,0.0,0.0,0.0,0.0,0.0006009615384615385,0.14963942307692307,0.04266826923076923,0.002403846153846154,0.0,0.0,0.0,0.0,0.0,1.0
OPAl,0.572961373390558,0.0,0.0,0.07296137339055794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0815450643776824,0.0,0.0,0.0,0.0,0.0,0.0,0.07081545064377683,0.060085836909871244,0.10944206008583691,0.0,0.0,0.0,0.032188841201716736,0.0,0.0,1.0
A6D,0.5679611650485437,0.15440627333831217,0.13722927557879014,0.0,0.10063480209111277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03976848394324122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6M,0.17829457364341086,0.3281653746770026,0.19748984865263935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29494278331487633,0.0011074197120708748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6V,0.7716643741403026,0.06785878037597433,0.0,0.0,0.12517193947730398,0.0,0.000687757909215956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004585052728106373,0.0,0.0,0.0,0.0,0.0,0.0,0.03415864282439248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A4M,0.5196820590461771,0.13626040878122633,0.0,0.0,0.29144587433762303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003785011355034065,0.04882664647993944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
