,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,SUM
A13M,0.19267015706806281,0.0,0.0,0.5842931937172775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22198952879581152,0.0,0.0010471204188481676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Gu,0.1140215716486903,0.43297380585516176,0.0,0.02824858757062147,0.1510015408320493,0.0,0.0,0.0,0.030816640986132512,0.0,0.0,0.0,0.0,0.0,0.0,0.0667693888032871,0.17616846430405753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
Opro,0.2644230769230769,0.07451923076923077,0.0,0.4807692307692308,0.0,0.0,0.0,0.0,0.0018028846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.09495192307692307,0.0,0.008413461538461538,0.056490384615384616,0.01622596153846154,0.0,0.0,0.0,0.002403846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OPAl,0.43776824034334766,0.0,0.0,0.19957081545064378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09656652360515021,0.006437768240343348,0.0,0.0,0.0,0.019313304721030045,0.17167381974248927,0.06866952789699571,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6D,0.1588872292755788,0.11202389843166542,0.688386855862584,0.0,0.04070201643017177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6M,0.08933185677371724,0.07678110003691399,0.7390180878552972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09486895533407161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A6V,0.19669876203576342,0.5479138010087116,0.006189821182943604,0.11691884456671252,0.13182026593305823,0.0,0.0004585052728106373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A4M,0.15329295987887964,0.7808478425435277,0.04428463285389856,0.0,0.02157456472369417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002
A4L,0.07815384615384616,0.5956923076923077,0.0,0.0,0.19846153846153847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03784615384615385,0.08984615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
S1M,0.18168750898375738,0.05706482679315797,0.0,0.0,0.7051890182549949,0.041828374299266925,0.014230271668822769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
