,0,FRO_Precentral,FRO_Premotor,FRO_Prefrontal,PAR_Postcentral,PAR_Superior,PAR_Inferior,PAR_Precuneus,TEM_Superior,TEM_Inferior,TEM_Medial,TEM_Hippocampus,TEM_Amygdala,OCC_Lateral,OCC_Medial,INS_Anterior,INS_Posterior,OLF_Anterior,OLF_Piriform,OLF_Claustrum,CIN_Anterior,CIN_Posterior,BG_Caudate,BG_Putamen,BG_Accumbens,BG_Pallidum,BG_Substantia_Nigra,THL_Thalamus,THL_Hypothalamus,THL_Subthalamus,Cerebellum,SUM
A10,0.4992359746780179,0.0,0.0,0.12704649639816634,0.0004365858982754857,0.0,0.0,0.0,0.0013097576948264572,0.0,0.0021829294913774284,0.015062213490504257,0.0336171141672124,0.015062213490504257,0.0004365858982754857,0.0004365858982754857,0.00021829294913774285,0.0,0.0,0.006767081423270029,0.0626500764025322,0.0032743942370661427,0.0026195153896529143,0.01920977952412137,0.038637851997380485,0.015498799388779742,0.0,0.038637851997380485,0.0809866841301026,0.0,0.0366732154551408,1.0
A9,0.19710669077757687,0.0,0.0,0.5852923447860157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21760096443640747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A46,0.37032258064516127,0.0,0.0,0.5645161290322581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8a,0.43964737793851716,0.08838155515370705,0.31329113924050633,0.13969258589511754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189873417721519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A8b,0.2730235194105979,0.014735052422782658,0.10838764522527629,0.44375177103995467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1601020119013885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A47L,0.340759782919166,0.015424164524421594,0.0,0.6438160525564125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A47M,0.4783226723525231,0.05828002842928216,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032693674484719264,0.04975124378109453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A45,0.7386363636363636,0.01461038961038961,0.0,0.24675324675324675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ProM,0.4217732884399551,0.21189674523007856,0.0,0.003591470258136925,0.11447811447811448,0.0,0.001122334455667789,0.0,0.010325476992143659,0.0,0.0,0.0,0.0,0.0,0.0,0.039057239057239054,0.13378226711560046,0.0,0.0,0.0,0.0,0.0,0.0,0.06397306397306397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999999999
A32V,0.2816399286987522,0.0,0.0,0.07754010695187166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6408199643493762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A32D,0.3925596890616324,0.0,0.0,0.028872848417545807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5785674625208218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A14,0.18693508627773212,0.0,0.0,0.419063270336894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3582580115036976,0.0,0.020542317173377157,0.0,0.015201314708299097,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24a,0.7615740740740741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22592592592592592,0.0125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
A24b,0.42099487929773227,0.0,0.0032918800292611556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4070958302852963,0.1686174103877103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
